f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,image,x,y
39.28015,16.873604,6.388957e+06,8.297329,-0.024536133,0.5764854,2363.75,6.9722295,0.03356934,0.7739585,3174.75,6.752388,-0.0030517578,0.2020781,827.75,7.042492,Cloud-1.bmp,0,0
39.727905,5.487915,6.487222e+06,8.310841,0.006713867,0.3497474,1432.75,7.4643116,0.013549804,0.3508295,1437.7498,7.461217,0.004272461,0.13786016,564.75,7.4428415,Cloud-1.bmp,112,0
39.334595,4.1315155,6.354296e+06,8.312395,-0.006713867,0.33497688,1372.25,7.4062157,-0.002563483,0.32817942,1344.2498,7.4060755,0.006713867,0.13185188,540.25,7.3894787,Cloud-1.bmp,224,0
40.313232,15.455962,6.7199495e+06,8.297228,-0.030761719,0.3878476,1592.5,7.3474183,0.0056152237,0.3260182,1335.4998,7.380704,0.0024414062,0.14122939,578.5,7.4146786,Cloud-1.bmp,336,0
67.74426,800.41144,2.2076196e+07,8.001493,-0.17028809,2.2132504,9184.25,7.188793,0.07800294,2.4431953,10032.25,7.124256,0.0052490234,0.32205498,1319.25,7.2780647,Cloud-1.bmp,448,0
65.15625,705.1788,2.0277312e+07,8.007275,0.20288086,2.4826431,10337.5,7.06906,0.02539061,2.780239,11390.5,7.0719194,0.0051269536,0.34360164,1407.5,7.2588043,Cloud-1.bmp,560,0
35.392944,59.248856,5.373581e+06,8.226649,0.0064697266,0.5599557,2293.75,7.266576,-0.0008544978,0.5482781,2245.75,7.3006945,-0.00012207031,0.1530151,626.75,7.4022427,Cloud-1.bmp,672,0
46.356445,88.1603,9.163081e+06,8.242648,-0.0390625,0.5253296,2158.0,7.2650123,0.014892592,0.54128206,2218.0,7.2423654,-0.0007324219,0.16674748,683.0,7.380273,Cloud-1.bmp,784,0
59.489502,285.37808,1.5664656e+07,8.149544,-0.21948242,0.8375696,3628.0,6.934697,-0.04736328,0.85908484,3528.0,6.9094124,-0.005859375,0.17135239,702.0,7.4167233,Cloud-1.bmp,896,0
110.18103,1692.0709,5.6655588e+07,8.071011,-0.02331543,2.7012997,11066.75,7.4233837,-0.18298341,2.3438978,9737.751,7.392683,0.004760742,0.26212332,1073.75,7.4623933,Cloud-1.bmp,1008,0
168.46558,13757.607,1.725983e+08,7.657169,-1.1101074,8.865562,41361.0,6.763677,0.081787124,5.6937504,23349.0,7.005479,0.0017089844,0.4968232,2035.0,7.274103,Cloud-1.bmp,1120,0
388.25208,2133.2258,6.261674e+08,8.290145,-0.3446045,3.6260595,15338.75,7.174372,0.094848625,5.052466,20731.748,7.1177244,0.0010986326,0.40276977,1649.75,7.4326134,Cloud-1.bmp,1232,0
428.75244,1683.8628,7.598593e+08,8.300026,0.35913086,3.8959274,16486.0,6.8819156,-0.03247057,5.7142777,23410.0,6.994802,0.006347656,0.38985223,1597.0,7.3186874,Cloud-1.bmp,1344,0
175.2279,19606.121,2.060736e+08,7.636389,1.5230713,11.13405,55106.75,7.1850576,-0.55432117,10.286417,43391.75,7.2027187,-0.0072021503,0.7581878,3105.75,7.303507,Cloud-1.bmp,1456,0
26.096313,105.83368,3.2229428e+06,8.005405,0.026489258,0.6112979,2506.75,7.075679,-0.03063965,0.6425548,2635.75,7.02747,0.0015869141,0.13958488,571.75,7.339136,Cloud-1.bmp,1568,0
36.003418,900.74927,8.998893e+06,7.310436,-0.42041016,1.927259,8618.0,6.560662,0.10620117,1.4958014,6173.0005,6.527211,-0.0012207031,0.22997896,942.0,7.0944457,Cloud-1.bmp,1680,0
260.2002,10711.876,3.21192e+08,8.074309,-1.2285156,7.5827885,37241.0,7.310895,0.2509765,7.0339346,29069.0,7.2802925,-0.017578125,0.6115074,2506.0,7.414613,Cloud-1.bmp,1792,0
413.56238,1909.631,7.0837645e+08,8.296123,-0.21960449,5.2488317,21696.75,6.938252,0.039184526,4.8961086,20060.75,7.169326,-0.0025634766,0.42693436,1748.75,7.325621,Cloud-1.bmp,1904,0
424.0133,2092.048,7.449777e+08,8.295256,0.22229004,2.3626354,9879.75,7.422536,-0.4442142,3.238893,14074.755,7.239785,-0.0076904297,0.35168645,1440.75,7.411086,Cloud-1.bmp,2016,0
355.0459,3735.4377,5.3163222e+08,8.265801,0.088378906,5.701418,23385.0,6.9059577,-0.7351074,6.084861,27137.0,6.949323,-0.0051269527,0.7021221,2876.0,7.2994213,Cloud-1.bmp,2128,0
412.02075,4544.568,7.13956e+08,8.266262,-0.28295898,3.2486694,13634.5,6.8711405,-0.4660644,4.573189,19621.498,7.0697894,-0.0026855455,0.4107594,1682.5,7.1235,Cloud-1.bmp,2240,0
408.5752,2151.5444,6.925731e+08,8.2924385,0.265625,1.8654785,7930.0,6.913351,-0.56640625,1.6003265,7869.0,7.0752773,0.0024414058,0.2734315,1120.0,7.2613993,Cloud-1.bmp,2352,0
237.13269,7383.6943,2.6056952e+08,8.079028,0.8031006,9.159412,40158.75,7.316593,0.06774911,6.95702,28514.752,7.275146,-0.0059814462,0.6742196,2761.75,7.4097714,Cloud-1.bmp,2464,0
151.07507,2001.0758,1.0168219e+08,8.151698,0.30407715,2.9708304,12547.25,6.806993,0.18664554,2.6781151,11112.25,7.26194,0.0045166025,0.32108557,1315.25,7.451594,Cloud-1.bmp,2576,0
104.05713,4.8673406,4.437096e+07,8.31687,0.016845703,0.3695892,1515.0,7.485757,0.009277325,0.51920056,2126.9983,7.463382,0.004638672,0.14353314,588.0,7.410085,Cloud-1.bmp,2688,0
102.84924,6.8099766,4.335525e+07,8.31648,0.017211914,0.45789465,1876.75,7.5170183,0.020874005,0.5895912,2416.7505,7.5255246,-0.00061035156,0.17523158,717.75,7.4854198,Cloud-1.bmp,2800,0
110.27661,996.5547,5.3893064e+07,8.143585,-0.34155273,3.0353193,12910.5,6.844922,0.18896484,2.1218853,8837.5,6.910831,-0.0058593745,0.29159164,1194.5,7.4146233,Cloud-1.bmp,2912,0
279.7379,5424.9546,3.4274614e+08,8.195763,-0.65563965,8.556404,36807.75,7.260516,0.5982666,10.624927,44985.75,7.222846,0.0064697256,0.7262155,2974.75,7.3310432,Cloud-1.bmp,3024,0
312.11755,3386.5293,4.1289277e+08,8.250544,0.07312012,4.3776493,17952.75,7.2382917,0.664917,6.310755,27659.754,7.3024025,0.008666992,0.44712946,1831.75,7.348525,Cloud-1.bmp,3136,0
322.00452,3893.2642,4.406484e+08,8.248028,0.014770508,9.332118,38225.25,7.326674,0.48522952,13.533414,56397.25,7.3244133,-0.0006103519,0.73980665,3030.25,7.4449806,Cloud-1.bmp,3248,0
297.99805,1713.0879,3.7075325e+08,8.280601,0.14428711,13.966729,57293.0,7.3428936,0.1452637,17.608782,72212.0,7.350482,0.0024414058,1.1745545,4811.0,7.426477,Cloud-1.bmp,3360,0
